euler,centroid_x,centroid_y,hor_symm,ver_symm,aspect_ratio,area_ratio
1.000000,4.461538,6.934066,0.000000,0.083333,1.000000,0.319298
0.000000,4.182609,4.339130,0.480000,0.512821,1.000000,0.637119
1.000000,4.017857,12.017857,0.000000,1.000000,6.000000,0.982456
1.000000,4.529412,6.950980,0.000000,0.407407,1.000000,0.357895
0.000000,4.187500,4.754167,0.587500,0.400000,1.000000,0.664820
0.000000,4.338129,7.280576,0.000000,0.581395,1.000000,0.562753
0.000000,4.091743,6.165138,0.444444,0.238095,1.000000,0.382456
1.000000,5.113772,4.712575,0.659574,0.230769,1.000000,0.462604
1.000000,4.090323,6.367742,0.800000,0.428571,1.000000,0.479876
1.000000,4.272189,5.662722,0.960000,0.454545,1.000000,0.555921
-4.000000,5.541284,4.674312,0.829268,0.540000,1.000000,0.637427
-1.000000,4.741497,7.721088,0.000000,0.378378,1.000000,0.595142
1.000000,5.552239,11.492537,0.000000,1.000000,3.000000,0.705263
1.000000,4.790123,4.481481,0.472222,0.192982,1.000000,0.448753
1.000000,3.977901,4.872928,0.641026,0.220339,1.000000,0.529240
1.000000,5.351852,11.425926,0.000000,0.230769,2.000000,0.406015
1.000000,5.248756,5.701493,0.875000,0.593220,1.000000,0.622291
0.000000,5.070588,5.947059,0.612903,0.590909,1.000000,0.526316
1.000000,5.269663,8.662921,0.000000,0.354839,1.000000,0.425837
0.000000,4.204545,6.086364,0.576923,0.696970,1.000000,0.681115
-1.000000,4.602649,7.066225,0.750000,0.511111,1.000000,0.529825
-1.000000,4.337209,4.860465,0.675000,0.605263,1.000000,0.476454
1.000000,4.324675,6.512987,1.000000,0.300000,1.000000,0.540351
-1.000000,4.414847,4.890830,0.553846,0.179104,1.000000,0.634349
1.000000,5.675676,4.560811,0.840000,0.380952,0.000000,0.458204
0.000000,4.713333,5.520000,0.666667,0.369565,1.000000,0.415512
1.000000,4.007519,8.135338,0.000000,0.911765,1.000000,0.538462
-1.000000,4.512195,7.642276,0.000000,0.406250,1.000000,0.497976
-1.000000,4.930556,9.173611,0.000000,0.806452,1.000000,0.688995
1.000000,4.546218,5.655462,0.583333,0.282051,1.000000,0.391447
-1.000000,4.684932,6.143836,0.473684,0.386364,1.000000,0.452012
0.000000,4.759259,8.500000,0.000000,0.666667,1.000000,0.516746
1.000000,4.420732,5.250000,0.705882,0.151515,1.000000,0.454294
0.000000,4.547771,7.401274,0.666667,0.648649,1.000000,0.550877
